27203,Aula especialIntegradaUNCTAD,25,1
27204,Aula especialIntegradaUNCTAD,25,1
27301,Aula de clase,30,1
27302,Sala de computo,30,1
27303,Sala de computo,30,1
27304,Aula de clase,25,1
27306,Sala de reuniones,12,1
27401,Aula de clase,36,1
27403,Aula de clase,36,1
28002,Aula de Musica con instrumento,15,1
28003,Aula de Musica con instrumento,40,1
28004,Aula de Musica con instrumento,25,1
28100,Auditorio,664,1
29201,Sala de reuniones,12,1
29202,Aula de clase,24,1
29203,Aula de clase,34,1
29204,Aula de clase,30,1
29205,Aula de clase,28,1
29206,Aula de clase,32,1
29207,Aula de clase,25,1
29208,Sala de reuniones,12,1
29209,Sala de reuniones,8,1
29210,Sala de reuniones,8,1
29301,Sala de reuniones,8,1
29305,Sala de reuniones,8,1
29308,Sala de reuniones,8,1
29317,Sala de reuniones,8,1
29401,Sala de reuniones,6,1
29404,Sala de reuniones,8,1
29406,Sala de reuniones,8,1
29504,Sala de reuniones,8,1
29521,Aula de clase Desarrollo estudiantil,15,1
3124,Sala de reuniones,2,1
3304,Sala de reuniones,8,0
30103,Cubiculo de musica con instrumento,1,1
30104,Cubiculo de musica con instrumento,1,1
30105,Cubiculo de musica con instrumento,1,1
30106,Cubiculo de musica con instrumento,1,1
30107,Cubiculo de musica con instrumento,1,1
30108,Cubiculo de musica con instrumento,1,1
30112,Aula de Musica con instrumento,24,1
30114,Aula de Musica con instrumento,2,1
30115,Auditorio,70,1
30116,Aula de Musica con instrumento,2,1
30117,,1,1
30118,Cubiculo de musica con instrumento,1,1
30201,Aula de Musica con instrumento,15,1
30202,Aula de Musica con instrumento,15,1
30204,Aula de Musica con instrumento,15,1
30207,Cubiculo  de musica,1,1
30208,Cubiculo de musica con instrumento,1,1
30220,Cubiculo de musica con instrumento,1,1
30221,Cubiculo de musica con instrumento,1,1
30222,Cubiculo de musica con instrumento,1,1
30223,Cubiculo de musica con instrumento,1,1
30224,Cubiculo de musica con instrumento,1,1
30225,Cubiculo de musica con instrumento,1,1
30226,Cubiculo de musica con instrumento,1,1
30227,Cubiculo de musica con instrumento,1,1
30228,Cubiculo de musica con instrumento,1,1
30301,Aula de Musica con instrumento,40,1
30302,Sala de computo con instrumento,18,1
30303,Aula de Musica con instrumento,40,1
30304,Aula de Musica con instrumento,8,1
30305,Aula de Musica con instrumento,15,1
30306,Aula de Musica con instrumento,15,1
30307,Aula de Musica con instrumento,15,1
30308,Aula de Musica con instrumento,15,1
30310,Cubiculo de musica con instrumento,1,1
30311,Cubiculo de musica con instrumento,1,1
30401,Aula de Musica con instrumento,15,1
30402,Aula de Musica con instrumento,15,1
30403,Cubiculo de musica con instrumento,1,1
30404,Cubiculo de musica con instrumento,1,1
30405,Cubiculo de musica con instrumento,1,1
32300,Auditorio,25,1
33101,Aula de clase,37,1
33102,Aula de clase,37,1
33103,Aula de clase,37,1
33201,Aula de clase,50,1
33202,Aula de clase,37,1
33203,Aula de clase,37,1
33204,Aula de clase,37,1
33301,Aula de clase,50,1
33302,Aula de clase,37,1
33303,Aula de clase,37,1
33401,Aula de clase,50,1
33402,Aula de clase,37,1
33403,Aula de clase,37,1
33404,Aula de clase,37,1
34101,Aula de clase,37,1
34102,Aula de clase,37,1
34201,Aula de clase,50,1
34202,Aula de clase,37,1
34203,Aula de clase,37,1
34301,Aula de clase,50,1
34302,Aula de clase,37,1
34303,Aula de clase,37,1
34401,Aula de clase,50,1
34402,Aula de clase,37,1
34403,Aula de clase,50,1
34501,Aula de clase,50,1
34502,Aula de clase,25,1
34503,Aula de clase,25,1
35101,Aula de clase,37,1
35102,Aula de clase,37,1
35201,Aula de clase,50,1
35202,Aula de clase,37,1
35203,Aula de clase,37,1
35301,Aula de clase,50,1
35302,Aula de clase,37,1
35303,Aula de clase,37,1
35401,Aula de clase,50,1
35402,Aula de clase,37,1
35403,Aula de clase,37,1
35501,Aula de clase,50,1
35502,Aula de clase,25,1
35503,Aula de clase,25,1
38101,Auditorio,150,1
38103,Aula de clase,28,1
38104,Aula active learning center,30,1
38105,Aula de clase,28,1
38106,Aula de clase,28,1
38107,Aula de clase,28,1
38108,Aula de clase,28,1
38110,Auditorio,150,1
38202,Aula de clase,28,1
38203,Aula de clase,28,1
38204,Aula de clase,28,1
38205,Aula de clase,28,1
38206,Aula de clase,28,1
38207,Aula de clase,28,1
38208,Sala de computo Media lab,20,1
38301,Aula de clase,25,1
38302,Aula de clase,25,1
38303,Aula de clase,25,1
38304,Aula de clase,25,1
38305,Aula de clase,25,1
38306,Aula Humanidades,20,1
38307,Sala Datapol,20,1
38315,Sala de computo Media lab,20,1
38318,Celee,10,1
38320,Sala de computo,30,1
38321,Sala de computo,30,1
38405,Aula Humanidades,26,1
7101,Aula de clase,28,1
7102,Aula de clase,28,1
7103,Aula de clase,28,1
7104,Aula de clase,28,1
7105,Aula de clase,28,1
7106,Aula de clase,28,1
7107,Aula de clase,28,1
7108,Aula de clase,28,1
